check	denetlemek
her ülke aynı inovasyon seviyesinde değil.	her ülke aynı yenilik seviyesinde değil.
inovasyon aslında tek sözcükle açıklanabilecek birşey değil.	yenilik aslında tek sözcükle açıklanabilecek birşey değil.
inovasyon dünyasında şu düştüğümüz hale bak.	yenilik dünyasında şu düştüğümüz hale bak.
inovasyon bilgisine sahip değilsin.	yenilik bilgisine sahip değilsin.
hep eski şeyleri deniyoruz biraz inovasyondan haberin olsun.	hep eski şeyleri deniyoruz biraz yenilikten haberin olsun.
inovasyon her ülkenin sırtlayamayacağı bir yük.	yenilik her ülkenin sırtlayamayacağı bir yük.
toplantıyı ne zaman set ediyoruz?	toplantıyı ne zaman ayarlıyoruz?
tüm gereklilikleri set ettik.	tüm gereklilikleri ayarladık.
her şey set edilmiş halde bekliyor.	her şey ayarlanmış halde bekliyor.
herkes hazırsa kişileri bir set edelim.	herkes hazırsa kişileri bir ayarlayalım.
her gün sonunda toplantılarınızı set edeceksiniz.	her gün sonunda toplantılarınızı ayarlayacaksınız.
set edilecek bir sürü konu var.	ayarlanacak bir sürü konu var
her yeni kişi set edilecek yeni bir toplantı demek.	her yeni kişi ayarlanacak yeni bir toplantı demek.
en son toplantı ne zaman set edilmişti?	en son toplantı ne zaman ayarlanmıştı?
her beyaz yakalı hayatında en az bir defa set etmek demiştir.	her beyaz yakalı hayatında en az bir defa ayarlamak demiştir.
set etmek lafını kullanmayan var mı?	ayarlamak lafını kullanmayan var mı?
